,n,r,p
0,20,0.42319183038686053,0.0630021898819213
1,3.0,0.8061112083705891,0.4031365828298855
2,3.0,0.9999943147694745,0.002146690162897514
3,3.0,0.9892125578153873,0.09359346939398346
4,3.0,-0.6136017861572026,0.5794400700868146
5,3.0,0.9917342678679262,0.08190970946159035
6,3.0,0.7862820663447698,0.4240065590342928
7,3.0,-0.9936925677989116,0.0715401677712241
8,3.0,0.9494085370336298,0.20336767761911176
9,3.0,0.5389159470580714,0.637668076475813
10,3.0,0.9413236771317534,0.219166086663398
11,3.0,0.7270985714624695,0.4817366072013779
12,3.0,0.5180550798693341,0.6533124411692282
13,3.0,0.9407064177935713,0.22032743948944436
14,3.0,0.13079924957888736,0.9164913297677446
15,3.0,0.7399760069241808,0.4696736470132404
16,3.0,-0.7839750670850653,0.4263779597654095
17,3.0,0.609103113382865,0.5830591062279042
18,3.0,0.9204992041148528,0.25556475988686606
19,3.0,0.7685718469091909,0.4419353933038952
20,3.0,0.2882245839909637,0.8138700636448247
21,3.0,0.7867628279688965,0.4235109609323654
22,3.0,0.9948047237823141,0.06492136534665324
23,3.0,0.8654123345041335,0.3341130904584389
24,3.0,0.43821368110363434,0.7112226399837802
25,3.0,0.11124935937738456,0.929029548162237
26,3.0,1.0,0.0
27,3.0,0.5310450807835426,0.6435989560704914
28,3.0,0.995651212165834,0.05939320265927353
29,3.0,1.0,0.0
30,3.0,0.8689229835056526,0.32962529514492317
31,3.0,-0.6960877949425862,0.5098448454417042
32,3.0,-0.20733937977295974,0.8670391277291115
33,3.0,0.9150746129398034,0.264263052260951
34,3.0,0.961011173549102,0.17835547728995443
35,3.0,0.9315382833871139,0.23693456606477556
36,3.0,0.9447612115803836,0.21258710170001496
37,3.0,-0.46727731750990853,0.6904699336522612
38,3.0,-0.21240114041495464,0.8637433062891712
39,3.0,0.20908656092916486,0.8659019137562525
40,3.0,0.37406454565897307,0.7559276905893227
41,3.0,0.3548153283842381,0.7690874809837647
42,3.0,0.6836758796491416,0.520760429315863
43,3.0,-0.4931773173945361,0.6716707528922904
44,3.0,0.8340199660836807,0.37206746828979453
45,3.0,0.08682394376047362,0.9446564780183269
46,3.0,0.5960395606792697,0.5934802716263393
47,3.0,1.0,0.0
48,3.0,0.9871681104632095,0.10209534121256143
49,3.0,0.9058785806468902,0.2784236192870248
50,3.0,0.29921637054295147,0.8065495265405428
51,3.0,0.32258249336446576,0.7908980528458412
52,3.0,0.7098773154529063,0.4975007305117105
53,3.0,0.2644762457334426,0.8296018492796617
54,3.0,-1.0,0.0
55,3.0,0.6931136937220961,0.5124767452891699
56,3.0,0.37059405739967866,0.758308233323084
57,3.0,0.20609109344959115,0.8678513547138069
58,3.0,0.9490042927750154,0.2041855611799508
59,3.0,0.5847024009717594,0.6024225690305909
60,3.0,1.0,0.0
61,3.0,0.993679663585455,0.07161338866330944
62,3.0,-1.0,0.0
63,3.0,0.9815128556372336,0.12260308223648322
64,3.0,-0.2677994172520509,0.8274070975415604
65,3.0,0.3975859174734516,0.7396961220872236
66,3.0,0.5718119074872279,0.6124814170804224
67,3.0,-0.9773674783959416,0.13570133210591812
68,3.0,0.6063376163830074,0.5852760301092799
69,3.0,0.11699214139948408,0.9253495323253272
70,3.0,0.6392769714667691,0.5584674867922865
71,3.0,0.9931866783302081,0.07435693132888245
72,3.0,1.0,0.0
73,3.0,-0.8993290361669186,0.2881109809659944
74,3.0,0.22346732271623743,0.8565248046250321
75,3.0,-0.31930968889748584,0.7930979673292625
76,3.0,-0.11229167418006392,0.9283618058749181
77,3.0,-0.9999999999999998,1.3415758552508148e-08
78,3.0,-0.26728720344954277,0.8277455198844046
79,3.0,-0.46221840593579855,0.6941072213056537
80,3.0,-1.0,0.0
81,3.0,0.5847049266289197,0.6024205870406775
82,3.0,1.0,0.0
83,3.0,-0.9313800223521455,0.23721147482636654
84,3.0,0.34512091289811775,0.7756758120869098
85,3.0,0.5996372273332613,0.5906231068531108
86,3.0,0.8230669065273875,0.38452231263908854
87,3.0,0.9999999999999999,0.0
88,3.0,-1.0,0.0
89,3.0,0.9931866783302081,0.07435693132888245
90,3.0,-0.2672872034495428,0.8277455198844046
91,3.0,1.0,0.0
92,3.0,0.34512091289811775,0.7756758120869098
93,3.0,0.9861484929514619,0.10608310312302195
94,3.0,-1.0,0.0
95,3.0,0.9052400833973304,0.2793818034582802
96,3.0,1.0,0.0
97,3.0,-0.3814444480025142,0.7508535130381258
98,3.0,0.6016464785225472,0.5890232309167225
99,3.0,-1.0,0.0
100,3.0,0.7550729632764082,0.45520282723916083
101,3.0,0.7532218719092418,0.4569973057401368
102,3.0,-0.8959385046771409,0.29300851823321705
103,3.0,1.0,0.0
104,3.0,-0.3210427093638459,0.7919333861590716
105,3.0,0.9315382833871136,0.2369345660647763
