,n,r,p
71,3.0,-0.9999999999999998,1.3415758552508148e-08
72,3.0,-0.1551812652884629,0.9008076756333592
73,3.0,0.9639153086179102,0.1715423255828942
74,3.0,0.9887641851703904,0.09552232517221286
75,3.0,0.9687136949323635,0.15966550501842425
76,3.0,-0.9704974082040554,0.15502393731578576
77,3.0,0.6068880229508775,0.5848352743063739
78,3.0,0.9415807780887139,0.21868061316106424
79,3.0,0.20446338968605476,0.8689101310938284
80,3.0,1.0,0.0
81,3.0,,
82,3.0,0.5519262967572753,0.6277859377875401
83,3.0,0.37350897285781764,0.7563090200177687
84,3.0,0.32570842499305597,0.7887944420105617
85,3.0,0.9823652129780384,0.11973483719432516
86,3.0,0.839436753398467,0.36577011243502094
87,3.0,0.13156591704908485,0.9159989994768755
88,3.0,0.8728721357180165,0.32450960840612647
89,3.0,1.0,0.0
90,3.0,-0.08669160211648941,0.9447410482029652
91,3.0,0.8095591404393168,0.39941243794305586
92,3.0,-0.349504259700409,0.7727000396881286
93,3.0,0.9636708686741448,0.17212591755124898
94,3.0,-0.029009435570499523,0.9815294284691931
95,3.0,0.5164040761006876,0.6545405372666628
96,3.0,0.4877793761972466,0.6756141041887866
97,3.0,0.9994911530532046,0.02030986912225202
98,3.0,1.0,0.0
99,3.0,-1.0,0.0
100,3.0,1.0,0.0
101,3.0,-0.9715372504938115,0.15225412411123695
102,3.0,-0.6182320237416858,0.5756984209379683
103,3.0,0.9200372696037825,0.25631632107291824
104,3.0,-0.55804525251451,0.62310309513399
105,3.0,0.21989373975716592,0.858857867799332
106,3.0,0.5920081351741723,0.5966706507234619
107,3.0,0.6893120275866759,0.5158258384949361
108,3.0,0.5854144550588544,0.6018636137923845
109,3.0,-0.9422085642650657,0.21749081687513017
110,3.0,0.4654930155152678,0.6917540685328558
111,3.0,0.6119574164238917,0.5807647568366536
112,3.0,0.7091634460667856,0.49814564774353676
113,3.0,0.8595260252250614,0.3415177042772904
114,3.0,0.9594125197118841,0.1819998919626015
115,3.0,0.9583192106688397,0.1844519400837036
116,3.0,0.5491941745367144,0.6298694719465033
117,3.0,-0.8601278275314543,0.34076735123782453
118,3.0,0.9422762720831523,0.21736212155884868
119,3.0,-0.5125041967524605,0.6574358060012159
120,3.0,0.8095276742185146,0.3994465605498172
121,3.0,0.687054563038842,0.517806645766378
122,3.0,0.9813424090966283,0.1231687308236219
123,3.0,-0.08930914170662141,0.9430681802657299
124,3.0,0.8850075982384091,0.30830604049456867
125,3.0,0.7578485205033754,0.45250118256121985
126,3.0,0.18576575407711218,0.8810468800598006
127,3.0,0.9592505908274441,0.1823650845137905
128,3.0,0.9855597967822671,0.1083192815533893
129,3.0,0.21989373975716592,0.858857867799332
130,3.0,0.42089939880037985,0.7234290741998157
131,3.0,0.965987135963207,0.16651579593298982
132,3.0,0.7630672922631909,0.44738494548694197
133,3.0,-1.0,0.0
134,3.0,0.8906833670801033,0.3004528392551175
135,3.0,0.8062965780322662,0.40293711958458056
136,3.0,0.8671038006649057,0.3319577004316594
137,3.0,-0.07479118489808673,0.952341951299794
138,3.0,0.7630672922631909,0.44738494548694197
139,3.0,-1.0,0.0
140,3.0,-0.2877058505031419,0.8142149069058188
141,3.0,-1.0,0.0
142,3.0,0.9370161774874548,0.2271516397338403
143,3.0,1.0,0.0
144,3.0,1.0,0.0
145,3.0,0.8075361907028936,0.40160106280139757
146,3.0,1.0,0.0
147,3.0,0.269183553808215,0.8264923407618902
148,3.0,0.9960152294540006,0.05685139153057506
149,3.0,-0.7592153066545235,0.45116589101785753
150,3.0,0.8346235644344908,0.3713704280518161
151,3.0,0.9220807398050886,0.25297563518862193
152,3.0,0.8925762191935398,0.29779133123406515
153,3.0,-0.9893636355530648,0.09293459728773464
154,3.0,-0.4866007950646531,0.6764732724471522
