,n,r,p
0,54,0.3014548430379804,0.02674568110713161
1,3.0,-0.922410888985388,0.25243197912737736
2,3.0,0.6397040133328694,0.5581138660090121
3,3.0,0.9912967071866245,0.08405284247089803
4,3.0,0.5971442768194188,0.5926039537866531
5,3.0,0.4173206957273099,0.7259383666516231
6,3.0,0.4881118391392389,0.6753716264932316
7,3.0,0.5825052208975192,0.6041451096443394
8,3.0,0.9976006807467845,0.04410887820684575
9,3.0,0.962386564631807,0.17516098650515088
10,3.0,0.7934926774698475,0.41652093135341356
11,3.0,0.8744765348974397,0.3224101764433382
12,3.0,-1.0,0.0
13,3.0,0.6919274464630973,0.5135235857928062
14,3.0,0.989413557766456,0.09271585737661318
15,3.0,0.4745998732639555,0.6851855442749182
16,3.0,0.9554450092737868,0.19075201495162372
17,3.0,0.9606027187327713,0.17929347899729448
18,3.0,0.6725982750453016,0.530356455063455
19,3.0,0.7905876905063873,0.41955037728408445
20,3.0,0.6007551889101685,0.5897332973846797
21,3.0,0.7048855608816385,0.5019966730090349
22,3.0,0.09374037621859574,0.940235276110419
23,3.0,0.9999780553360328,0.004217551384420048
24,3.0,0.7416977732919083,0.46804176308951
25,3.0,0.6893365148663636,0.5158043200694338
26,3.0,0.9968222206498382,0.0507658970628701
27,3.0,0.5723281264652338,0.6120807424854048
28,3.0,0.8892931138023834,0.3023938459566876
29,3.0,0.29329531398088776,0.8104961660958786
30,3.0,-0.35794131659333567,0.7669575673286061
31,3.0,0.6082547502371753,0.5837398139411996
32,3.0,-0.7634685252044812,0.446989588861123
33,3.0,0.42425931637461267,0.7210690049129393
34,3.0,0.8558789554380324,0.3460336215544367
35,3.0,-0.25921278493388766,0.8330738141729429
36,3.0,0.7974133534931516,0.41240221210792105
37,3.0,-0.9832021380432477,0.11685086740567652
38,3.0,1.0,0.0
39,3.0,0.2027001817041397,0.8700566344678318
40,3.0,-0.5672071667287351,0.6160477587409438
41,3.0,-0.8236311395713074,0.38388939697476393
42,3.0,0.9547661612272531,0.19221074351671197
43,3.0,-0.676305579808804,0.5271597975819592
44,3.0,1.0,0.0
45,3.0,-0.5845309946955202,0.6025570683893716
46,3.0,1.0,0.0
47,3.0,-1.0,0.0
48,3.0,0.7329130241372821,0.4763204188664182
49,3.0,0.210912870598988,0.8647127316778916
50,3.0,-0.5045881668707205,0.663288691342715
51,3.0,0.8634051438323415,0.33665456160808205
52,3.0,-0.28961424314129935,0.8129459696043648
53,3.0,-0.982082731589464,0.12069286838372656
54,3.0,0.85002018432991,0.35317927989509096
55,3.0,-0.8173041668014045,0.39093517836427144
56,3.0,0.8519489402786506,0.35084129049297963
57,3.0,0.7361231043517279,0.4733088629262875
58,3.0,-0.9989581099044327,0.029063224058495978
59,3.0,0.9985694621461835,0.034056231114127665
60,3.0,0.8952732221676386,0.2939606009608707
61,3.0,-0.8373506978636605,0.36820657510417426
62,3.0,-0.9995733367149091,0.01859744144187227
63,3.0,0.9801065899597108,0.1271956751241564
64,3.0,-0.5719716844703524,0.6123574214895657
65,3.0,0.7892597811524582,0.4209289932506013
66,3.0,0.9996595576360481,0.016612279954245607
67,3.0,-0.9810270227860111,0.12420867224619549
68,3.0,0.8029550685469664,0.40651972837366046
69,3.0,0.858796420730142,0.3424254167914821
70,3.0,0.9190157061937241,0.257971039294781
71,3.0,-0.9104922525739008,0.2714059326901716
72,3.0,-0.368370265318394,0.7598317512761773
73,3.0,0.3026721391080288,0.8042425677699586
74,3.0,0.6149353327010877,0.5783642044581567
75,3.0,-0.7860229551163672,0.42427346300069557
76,3.0,0.7490786580453273,0.46099298535147337
77,3.0,0.7009550660169801,0.5055146734238262
78,3.0,1.0,0.0
79,3.0,-0.8730216471718717,0.3243144895566143
80,3.0,0.7079850578628508,0.49920878129410534
81,3.0,-0.45621832018223396,0.6984072163654881
82,3.0,0.10808882396449249,0.9310538184635079
83,3.0,0.7000760707687876,0.5062988056909001
84,3.0,0.9161048921113195,0.26263192378305805
85,3.0,0.273354302864228,0.8237337184528675
86,3.0,-0.632189662258688,0.5643126973239536
87,3.0,0.9611795046753049,0.17796751042807274
88,3.0,-0.5453994203636245,0.6327559683632968
89,3.0,-0.8386087577881346,0.366738909249588
90,3.0,1.0,0.0
91,3.0,0.7993325481322824,0.41037319354633967
92,3.0,0.9722966750529125,0.15019961418187325
93,3.0,0.24876302011232027,0.839951931508223
94,3.0,-0.7387392277051851,0.4708430269114377
95,3.0,0.5526635229493317,0.6272229515487889
96,3.0,0.15614506374161474,0.900186530820539
97,3.0,0.7973152018058891,0.412505750600607
98,3.0,0.432783806013724,0.7150626929789727
99,3.0,0.63156357751063,0.5648269456915781
100,3.0,-0.16896842811388524,0.8919128143036997
101,3.0,0.82873847664352,0.37811815216939965
102,3.0,0.9690827612905306,0.15871603277372212
103,3.0,0.9925669139335356,0.07766924458937861
104,3.0,-0.7579648216374413,0.4523876880765592
105,3.0,0.14632474824677646,0.9065111116156596
