,n,r,p
65,3.0,0.48323735161960435,0.6789216345017635
66,3.0,1.0,0.0
67,3.0,0.823866883602031,0.383624685641568
68,3.0,1.0,0.0
69,3.0,0.17317154974301455,0.8891969874240916
70,3.0,0.5536184570245538,0.6264932204270176
71,3.0,-0.0448129043680397,0.9714616618169657
72,3.0,1.0,0.0
73,3.0,0.888321219613886,0.303743952054337
74,3.0,0.21718939193446793,0.860622156755345
75,3.0,0.9878760483883301,0.09923319556586813
76,3.0,0.37606193717547776,0.7545559749894252
77,3.0,0.38681219289156143,0.7471523379954883
78,3.0,1.0,0.0
79,3.0,-0.29049321815143647,0.812361260265713
80,3.0,-0.9746566793670436,0.1436310637174185
81,3.0,0.9981537206053559,0.0386910640860933
82,3.0,-0.8804423737790237,0.3144914130504845
83,3.0,0.521064938376427,0.6510698599861422
84,3.0,0.32688588273532004,0.7880014462219298
85,3.0,0.9777462150864156,0.13455683443491692
86,3.0,-0.25831821182335335,0.8336633982599728
87,3.0,0.9999795390563626,0.00407247747446916
88,3.0,-0.9753352647939011,0.1416870180140085
89,3.0,0.6101820049250558,0.5821926192300213
90,3.0,-0.26100326162311205,0.8318933282228752
91,3.0,0.6101820049250558,0.5821926192300213
92,3.0,0.8671358038920629,0.3319167971952284
93,3.0,-0.9992658618691423,0.02439554836137164
94,3.0,0.9359317938518976,0.22911991263280815
95,3.0,0.9859161633629924,0.10697114452813114
96,3.0,0.9992305904085349,0.024974785594777022
97,3.0,0.9996825668175173,0.016041049218940576
98,3.0,-0.6126929930206628,0.5801724483363145
99,3.0,-0.8644845084273012,0.33529005686002533
100,3.0,-0.570201654168311,0.6137301232371479
101,3.0,0.4551415633090693,0.6991772996644452
102,3.0,1.0,0.0
103,3.0,-0.6821779597961433,0.5220658685496278
104,3.0,-1.0,0.0
105,3.0,0.9572179835515517,0.18689013087807183
106,3.0,1.0,0.0
107,3.0,-0.497139572020286,0.6687673848636436
108,3.0,0.949839196320636,0.20249284073665186
109,3.0,0.9097201265074858,0.27259218114116635
110,3.0,1.0,0.0
111,3.0,-0.8087963662464779,0.4002388967200595
112,3.0,0.5384029934256378,0.6380556697081865
113,3.0,0.4818067793603978,0.6799614194189418
114,3.0,0.7582522830434573,0.4521070629294144
115,3.0,-0.03259474197314077,0.9792458667531518
116,3.0,-0.03707063493677405,0.9763946921902973
117,3.0,0.9702504564057481,0.15567463898039893
118,3.0,0.11554495000442624,0.9262771342357201
119,3.0,0.47365371598514616,0.6858696694230751
120,3.0,,
121,3.0,0.9834754789618267,0.11589359195341621
122,3.0,1.0,0.0
123,3.0,0.7422400158553774,0.4675268694184996
124,3.0,0.1960363420987982,0.8743858870223032
125,3.0,0.9996019576067476,0.017962806512315386
126,3.0,0.8095933132509723,0.3993753773971561
127,3.0,0.8255956341684305,0.3816785996935238
128,3.0,-0.7488295056252295,0.461232360719708
129,3.0,0.7163488809957776,0.4916238423242321
130,3.0,-0.7488295056252297,0.46123236071970786
131,3.0,0.7130811847133491,0.4945981645608882
132,3.0,-0.9552479868619684,0.1911764941265614
133,3.0,0.658443645331886,0.5424301768791377
134,3.0,0.9420894005179421,0.21771713928485584
135,3.0,-0.10162735971455547,0.935190124489698
136,3.0,-0.06067525259834439,0.961349194316539
137,3.0,0.6666869010379396,0.5354236629115586
138,3.0,0.9462990707565359,0.2095795700230461
139,3.0,0.9174253872513404,0.2605272578330651
140,3.0,0.8449712344862661,0.3592349553077863
141,3.0,0.231662296219305,0.8511671350255973
142,3.0,-1.0,0.0
143,3.0,1.0,0.0
144,3.0,0.7383542689216711,0.4712065267088073
145,3.0,0.5594974266312929,0.6219883492373727
146,3.0,0.9353371932928729,0.23019234101262226
147,3.0,0.9472449583903155,0.20770890373483963
148,3.0,0.3422507911567367,0.7776215122847936
149,3.0,-0.8644845084273012,0.33529005686002533
150,3.0,0.8510282382998089,0.3519590780349075
151,3.0,-0.4497492825627069,0.7030266742343773
152,3.0,0.5262889364849728,0.6471660620160293
153,3.0,-0.8423506593160859,0.36234241928687455
154,3.0,0.658443645331886,0.5424301768791377
155,3.0,0.6362847629757781,0.560940686684927
156,3.0,0.8700543848506394,0.32816711128602605
157,3.0,0.7830946322465204,0.427280034996408
158,3.0,-0.9982446523240092,0.03772595511612113
159,3.0,-0.9988714904347675,0.03024743789057012
160,3.0,0.9999999999999999,0.0
161,3.0,0.916054791184953,0.26271146384694216
162,3.0,0.46576197217883186,0.691560591873375
163,3.0,0.7275034424689172,0.48136105436400534
164,3.0,0.4895064480044705,0.6743539222573428
165,3.0,-0.9917243011047404,0.08195914594681158
166,3.0,0.6101820049250558,0.5821926192300213
167,3.0,-0.0448129043680397,0.9714616618169657
168,3.0,0.4736537159851461,0.6858696694230751
169,3.0,0.45002017416210993,0.7028335743228467
170,3.0,1.0,0.0
171,3.0,0.8868938921407202,0.3057167447282744
172,3.0,0.6827815630409471,0.5215401284503183
173,3.0,0.9043358136472802,0.2807335959616306
174,3.0,0.9999999999999999,0.0
175,3.0,-0.28478963696472787,0.8161525045477819
176,3.0,-0.3542839552975904,0.7694492661861837
177,3.0,-0.4171582122268719,0.7260521877317999
178,3.0,0.9999999999999999,0.0
179,3.0,0.946299070756536,0.2095795700230461
180,3.0,0.9493374388038194,0.20351175649679434
181,3.0,0.5594974266312929,0.6219883492373727
182,3.0,-0.80797745837358,0.401124536550811
183,3.0,0.7515159884862743,0.4586459035895812
184,3.0,-0.6490396516292041,0.5503418355930425
185,3.0,0.8203315437837132,0.38757781845539113
186,3.0,0.8359606361804777,0.369822232303343
187,3.0,1.0,0.0
188,3.0,0.9104035666239307,0.2715424316977858
189,3.0,0.8145117844379645,0.3940098132338931
190,3.0,0.5866244418331366,0.6009129726056561
191,3.0,0.8440880601270295,0.3602848853906402
192,3.0,-0.6841734672471191,0.5203262260626238
193,3.0,-1.0,0.0
194,3.0,-0.9305311922201864,0.2386914436405114
195,3.0,0.823114734734004,0.38446869781511456
196,3.0,0.42729647536605586,0.7189321152523729
197,3.0,1.0,0.0
198,3.0,0.20636233345732594,0.8676748846015648
199,3.0,0.7211955244217313,0.487185849372661
200,3.0,0.993347518348199,0.07347304161635264
201,3.0,0.5704152104366009,0.6135646142609126
202,3.0,-0.12433444832702176,0.9206408594782388
203,3.0,0.9991435548514049,0.02634971354621189
204,3.0,0.8018558993236902,0.40769227840676725
205,3.0,-1.0,0.0
206,3.0,0.8309632466123209,0.37557984188989096
207,3.0,1.0,0.0
208,3.0,-0.7738405142973366,0.4366663605382721
209,3.0,0.7582522830434573,0.4521070629294144
210,3.0,0.7808019768369845,0.429621528857319
211,3.0,0.990168880373743,0.08934146183249701
212,3.0,-0.7738405142973366,0.4366663605382721
213,3.0,1.0,0.0
214,3.0,0.9706882382019377,0.15451927343883232
215,3.0,0.7721150612299651,0.43839776359831395
