,n,r,p
0,55,0.3023837677353593,0.024842521716235473
1,3.0,0.9999999999999997,1.8972747694479864e-08
2,3.0,-0.9870796844910943,0.10244727091079221
3,3.0,0.9505817011894022,0.20097588624516696
4,3.0,0.8207373486804534,0.3871258506817185
5,3.0,0.950233703850853,0.20168822551525592
6,3.0,-0.1407307779960113,0.9101096064924377
7,3.0,0.6231477516559052,0.5717070431459673
8,3.0,0.5870815317929543,0.600553586598031
9,3.0,1.0,0.0
10,3.0,0.9801983944543591,0.12690086523545763
11,3.0,0.7925748668555118,0.4174800878480597
12,3.0,-0.8265431808272132,0.38060822833424796
13,3.0,0.5796791638735338,0.6063557788988543
14,3.0,-0.9470520493900725,0.2080917325422043
15,3.0,0.5114727811097974,0.6582002129302745
16,3.0,0.9955278447197712,0.06023037173939244
17,3.0,0.8697776818811789,0.3285242780699798
18,3.0,-0.24581446747704205,0.8418892075220105
19,3.0,-0.37194696939208194,0.7573806429275599
20,3.0,-0.8087104407211422,0.40033190375158917
21,3.0,-0.911246664337737,0.2702421798956232
22,3.0,0.015564274256880672,0.9900910751707758
23,3.0,0.3829900966080094,0.7497886716394321
24,3.0,0.5782951512168821,0.607436424636957
25,3.0,0.4318504954220563,0.7157216147654777
26,3.0,0.41953729674917456,0.7243846827868703
27,3.0,0.7493749649243724,0.4607081733662475
28,3.0,-0.14937640897313098,0.9045467746028512
29,3.0,-0.4864272707980575,0.6765997145021242
30,3.0,-0.5957722429112007,0.5936921872909142
31,3.0,0.7683064079896939,0.4421994621052061
32,3.0,0.29504745088831624,0.8093290804935986
33,3.0,0.4724731481425049,0.6867227326858037
34,3.0,0.7983400630870121,0.41142354292000544
35,3.0,0.9825344651568666,0.11915717494002245
36,3.0,-0.0360687178772891,0.9770329593607481
37,3.0,0.8461938913809331,0.357776911326869
38,3.0,0.2946564658707164,0.8095895698792858
39,3.0,-0.7450020957149314,0.46489690072279455
40,3.0,0.7254673165291893,0.48324736722470335
41,3.0,-0.940841013361194,0.22007470398557338
42,3.0,0.5031163778965428,0.6643734114301767
43,3.0,0.9963658728215022,0.054290868949247215
44,3.0,-0.947832428367482,0.20653885251615847
45,3.0,0.8328472408455678,0.3734184539631666
46,3.0,-0.6371157349133632,0.560254646713391
47,3.0,-0.845380774901601,0.35874715850962363
48,3.0,0.724644864863631,0.4840076356547565
49,3.0,0.4864621846098683,0.6765742749529234
50,3.0,-0.999623702782676,0.017465227367238868
51,3.0,0.7429188974055363,0.4668815773605677
52,3.0,-0.8685270937287046,0.33013414643091754
53,3.0,0.7658879734878269,0.44459939020868033
54,3.0,0.5860435018435148,0.6013695234800357
55,3.0,-0.8192813721116663,0.38874532317578114
56,3.0,0.4793082028610792,0.6817752289149711
57,3.0,-0.893409533768639,0.2966126155541233
58,3.0,0.9491738676113923,0.2038428562422649
59,3.0,0.9783304733671414,0.13277221901032477
60,3.0,0.9995619579928454,0.018843816024039953
61,3.0,-0.8326875366574684,0.3736021003042858
62,3.0,-1.0,0.0
63,3.0,0.5619980377057808,0.6200656856437057
64,3.0,0.4157870479442023,0.7270123286374747
65,3.0,0.9211692634277225,0.2544708522244628
66,3.0,1.0,0.0
67,3.0,0.9999443579796543,0.006715812769733515
68,3.0,1.0,0.0
69,3.0,0.8901174859387804,0.3012442908478965
70,3.0,0.6463337553486478,0.5526027814176553
71,3.0,0.6517237992282041,0.5480922735586454
72,3.0,0.9910182266227076,0.08538896806996835
73,3.0,-0.5605471263150889,0.6211817375431723
74,3.0,0.9362073968344325,0.22862120033920924
75,3.0,0.9150475883928961,0.26430570961502
76,3.0,-1.0,0.0
77,3.0,-0.9871734380206573,0.10207409945502151
78,3.0,0.8156653336867304,0.3927422023473881
79,3.0,-0.7028731194090581,0.5038003143538711
80,3.0,0.31821080139991387,0.7938360422907674
