,n,r,p
0,25,-0.1526039043902252,0.46646798785288796
1,3.0,0.35171294947976506,0.7711986377698782
2,3.0,0.6611206476636339,0.5401622683270437
3,3.0,-0.9994793044786587,0.020544987827993876
4,3.0,0.6686891705494082,0.533711391092828
5,3.0,-0.25879260916286717,0.8333507565968182
6,3.0,0.2952750029276132,0.8091774613477428
7,3.0,0.22431360241080056,0.8559720132300589
8,3.0,-1.0,0.0
9,3.0,0.10628100758849801,0.9322113788636451
10,3.0,-0.5441972389193003,0.6336686354910703
11,3.0,-1.0,0.0
12,3.0,0.9999999999999999,0.0
13,3.0,0.7940798325971231,0.41590633648035147
14,3.0,-0.9915740394825101,0.08270090241931276
15,3.0,-0.6379349342863552,0.5595777273240892
16,3.0,-1.0,0.0
17,3.0,0.6600118308886838,0.5411024990146371
18,3.0,0.22876278946368273,0.8530639673632757
19,3.0,-0.9949434832740863,0.06404777044455441
20,3.0,-0.9999999999999999,0.0
21,3.0,-0.26431073200072375,0.8297111065256135
22,3.0,-0.7830036708892769,0.42737314036485585
23,3.0,1.0,0.0
24,3.0,-0.7492521931342035,0.4608261998518889
25,3.0,0.6611206476636339,0.5401622683270437
26,3.0,-0.9333718679563547,0.2337035450223127
27,3.0,-0.9333718679563547,0.2337035450223127
28,3.0,0.7481340032310096,0.4619000333111335
29,3.0,-0.9438820122045068,0.2142882549438765
30,3.0,-1.0,0.0
31,3.0,-0.9861378968647236,0.10612376512930677
32,3.0,-0.3618906094694057,0.7642627743958582
33,3.0,-1.0,0.0
34,3.0,0.14439187695573777,0.9077548252906512
35,3.0,-0.9545700775868527,0.1926300999901441
36,3.0,-0.9745227252038445,0.1440117729439147
37,3.0,0.9647180167636253,0.16961210875580696
38,3.0,-0.6539189835437136,0.5462474188760488
39,3.0,0.3903272647985644,0.7447237299706458
40,3.0,-0.4223584768431804,0.7224046913078542
41,3.0,0.1558740076732433,0.9003612295638522
42,3.0,-1.0,0.0
43,3.0,0.35722267522785217,0.7674474594595315
44,3.0,0.9229721355785263,0.2515052215522355
45,3.0,0.14326573411623994,0.9084792826139246
46,3.0,-0.7091237086000183,0.49818152768270846
47,3.0,-0.8727814298171912,0.3246279313688451
48,3.0,1.0,0.0
49,3.0,0.9998398202675366,0.011394747345229625
50,3.0,0.4324768656036607,0.7152794304832804
51,3.0,0.9999999999999999,0.0
52,3.0,0.9891251438067754,0.09397260008846949
53,3.0,-0.7637032905403623,0.4467581271725246
54,3.0,-0.9810895854389867,0.12400306549617734
55,3.0,0.007385306476252018,0.9952983251311822
56,3.0,0.14358708874779477,0.9082725646402731
57,3.0,1.0,0.0
58,3.0,0.37531432797498887,0.7550695382970946
59,3.0,-0.8747975379028526,0.32198862936342065
60,3.0,0.14358708874779477,0.9082725646402731
61,3.0,-0.9999976052446317,0.0013932395207904838
62,3.0,-0.6379349342863552,0.5595777273240892
63,3.0,-0.7959378698360985,0.41395633594901987
64,3.0,0.16607122834425825,0.8937836672542041
65,3.0,-0.9975812942858027,0.04428679081499446
66,3.0,0.9537377662187935,0.19440037148297956
67,3.0,-0.18068119916943412,0.8843395529420348
68,3.0,0.4079691381941346,0.7324741896657547
69,3.0,-0.9566600238353636,0.1881137733210626
70,3.0,-0.983292706454485,0.11653454642643025
71,3.0,-0.6681229098567382,0.5341960569121166
72,3.0,0.539419637529957,0.6372873356239688
73,3.0,-0.9334255663374333,0.23360827871886655
74,3.0,-0.9660340580675622,0.16640023981751537
75,3.0,0.6311253640829669,0.565186680619975
76,3.0,0.8428136016896426,0.3617951932840158
77,3.0,1.0,0.0
78,3.0,0.9528734461134987,0.19622234410968672
79,3.0,-0.4042853465516489,0.7350405441047962
80,3.0,-0.6168929603954834,0.5767822745295053
81,3.0,-0.5918701547371586,0.5967796370317445
82,3.0,1.0,0.0
83,3.0,0.9507424417124304,0.20064603041382725
84,3.0,0.24106181883307853,0.845008686294162
85,3.0,-0.4358679276745532,0.7128829518979864
86,3.0,0.7008417561024387,0.5056158079604459
87,3.0,-0.5645075927485687,0.6181321704846784
88,3.0,0.30811486124938803,0.8006037784136892
89,3.0,0.10964787885986543,0.9300553585158315
90,3.0,-0.9188481370670595,0.2582415095199532
91,3.0,-0.8293164138457841,0.37746021017152953
92,3.0,-0.8360959920956946,0.36966518399838894
93,3.0,0.2885359836174204,0.8136630246304464
94,3.0,-0.5814262137403873,0.6049898048819211
95,3.0,0.5133095757140822,0.6568385392460871
96,3.0,0.28456083181565334,0.8163044534655867
97,3.0,-0.7140861486670295,0.49368493657189516
98,3.0,-0.8215127156177999,0.3862609963288731
99,3.0,-0.3378703971117015,0.780586887139109
100,3.0,0.9439235292836683,0.21420821644268453
101,3.0,-0.23381201969747975,0.8497599360845283
102,3.0,-0.952504318248514,0.19699548676693698
103,3.0,0.9512772705708035,0.1995447131215722
104,3.0,-0.3484291501864916,0.7734303890372657
105,3.0,0.5161885157121124,0.6547007759396014
106,3.0,-0.9911151507768958,0.08492630525239135
107,3.0,-0.9778778908048792,0.13415667300701767
108,3.0,-0.5842383389298478,0.6027866626976275
109,3.0,-0.31062251623866394,0.7989249977213019
110,3.0,-1.0,0.0
111,3.0,0.7372271986941558,0.4722694662811059
112,3.0,0.7981249669913251,0.4116508767932915
113,3.0,-0.972795842644691,0.14883403595221384
114,3.0,0.059545404388944644,0.9620697810739457
115,3.0,-0.6848283620973936,0.51975433004315
116,3.0,0.2761399288670931,0.8218893555915555
117,3.0,0.9446557308801384,0.21279188598386367
118,3.0,0.6944500961764508,0.5112954092647127
119,3.0,0.9662943669988454,0.16575774156802087
120,3.0,-0.31634956440510925,0.7950854999927518
121,3.0,0.9041242990823622,0.2810489120582138
122,3.0,-0.3119502694991414,0.7980355315463987
123,3.0,-0.0009089123618798434,0.9994213683394081
124,3.0,0.3364469853440359,0.7815494175799887
125,3.0,0.982056824993856,0.12078035431062635
126,3.0,-0.3719689819197718,0.7573655461143544
127,3.0,-0.07333573160499379,0.9532710735333791
128,3.0,-0.31062251623866394,0.7989249977213019
129,3.0,-0.6990215918113521,0.5072382356820478
130,3.0,-0.4265174334734898,0.7194805570695546
131,3.0,-0.85345405255883,0.3490070829316239
132,3.0,0.20408153189029454,0.8691584656836884
133,3.0,0.7712438172570416,0.4392698409542533
134,3.0,0.6820387178615746,0.5221870911578687
135,3.0,-0.902355550444332,0.2836728633327095
136,3.0,0.3041106847819559,0.8032814602121947
137,3.0,0.0070128559624753894,0.9955354406383968
138,3.0,-0.8546240133262135,0.34757530900084943
139,3.0,0.621285317882686,0.5732215992763973
140,3.0,-0.42235847684318045,0.7224046913078542
141,3.0,-0.8793602391068117,0.3159412722490941
142,3.0,-0.579519192939337,0.6064807518363587
143,3.0,1.0,0.0
144,3.0,-0.4484413343716952,0.7039586057999923
145,3.0,-0.973500799134859,0.1468842536787422
